name,platform,genre,year_of_release,critic_score,user_score,rating,global_sales
Call of Duty: Advanced Warfare,XOne,Shooter,2014,81.0,5.4,M,5.26
Minecraft,PS3,Misc,2014,75.0,7.0,Unknown,5.2700000000000005
Tomodachi Life,3DS,Simulation,2013,70.0,7.05,Unknown,5.220000000000001
New Super Mario Bros. U,WiiU,Platform,2012,84.0,8.1,E,5.23
FIFA Soccer 13,X360,Action,2012,90.0,6.1,E,5.160000000000001
Diablo III,PC,Role-Playing,2012,88.0,4.0,M,5.14
Super Smash Bros. for Wii U and 3DS,WiiU,Fighting,2014,74.0,7.4,Unknown,4.87
The Last of Us,PS4,Action,2014,73.0,7.1,Unknown,4.72
Uncharted: The Nathan Drake Collection,PS4,Action,2015,86.0,8.1,T,4.62
Luigi's Mansion: Dark Moon,3DS,Action,2013,86.0,8.4,E,4.59
Halo 5: Guardians,XOne,Shooter,2015,84.0,6.4,T,4.49
Call of Duty: Infinite Warfare,PS4,Shooter,2016,77.0,3.4,M,4.470000000000001
Splatoon,WiiU,Shooter,2015,81.0,8.5,E10+,4.4399999999999995
Nintendo Land,WiiU,Misc,2012,77.0,7.9,E10+,4.42
Call of Duty: Advanced Warfare,PS3,Shooter,2014,76.0,4.8,M,4.36
Super Mario 3D World,WiiU,Platform,2013,93.0,9.0,E,4.319999999999999
Minecraft,PS4,Misc,2014,75.0,7.0,Unknown,4.32
Call of Duty: Advanced Warfare,X360,Shooter,2014,76.0,4.9,M,4.28
FIFA 15,PS3,Sports,2014,77.0,4.5,E,4.28
Fallout 4,XOne,Role-Playing,2015,88.0,6.2,M,4.22
FIFA 14,X360,Sports,2013,84.0,4.2,E,4.22
Battlefield 1,PS4,Shooter,2016,88.0,8.4,M,4.07
Watch Dogs,PS4,Action,2014,80.0,6.3,M,4.05
Far Cry 4,PS4,Shooter,2014,85.0,7.7,M,4.04
The Witcher 3: Wild Hunt,PS4,Role-Playing,2015,92.0,9.2,M,3.9699999999999998
Assassin's Creed: Unity,PS4,Action,2014,70.0,4.9,M,3.96
Batman: Arkham Knight,PS4,Action,2015,87.0,7.6,M,3.96
Monster Hunter 4 Ultimate,3DS,Role-Playing,2014,86.0,8.7,T,3.89
NBA 2K16,PS4,Sports,2015,87.0,6.7,E10+,3.87
Call of Duty: Ghosts,PS4,Shooter,2013,78.0,3.7,M,3.8299999999999996
Tom Clancy's The Division,PS4,Shooter,2016,80.0,7.0,M,3.8
Assassin's Creed IV: Black Flag,PS3,Action,2013,88.0,8.1,M,3.7099999999999995
Star Wars Battlefront (2015),XOne,Shooter,2015,76.0,6.7,Unknown,3.66
Battlefield 4,PS4,Shooter,2013,85.0,6.9,M,3.58
Just Dance 2014,Wii,Misc,2013,75.0,6.2,E10+,3.5799999999999996
Assassin's Creed: Unity,XOne,Action,2014,72.0,4.1,M,3.5
Battlefield 4,PS3,Shooter,2013,80.0,5.8,M,3.4899999999999998
Battlefield 4,X360,Shooter,2013,79.0,5.6,M,3.49
Monster Hunter 4,3DS,Role-Playing,2013,74.0,7.5,Unknown,3.44
Metal Gear Solid V: The Phantom Pain,PS4,Action,2015,93.0,8.2,M,3.4200000000000004
Assassin's Creed Syndicate,PS4,Action,2015,76.0,6.8,M,3.3899999999999997
Destiny,XOne,Shooter,2014,75.0,5.5,T,3.37
Far Cry 3,PS3,Shooter,2012,90.0,8.5,M,3.35
Monster Hunter X,3DS,Action,2015,73.0,7.1,Unknown,3.32
Assassin's Creed IV: Black Flag,X360,Action,2013,86.0,7.9,M,3.3099999999999996
Yokai Watch 2 Ganso/Honke,3DS,Role-Playing,2014,74.0,7.5,Unknown,3.28
Gears of War: Ultimate Edition,XOne,Shooter,2015,82.0,7.5,M,3.28
FIFA 16,XOne,Sports,2015,84.0,4.4,E,3.25
Madden NFL 16,PS4,Sports,2015,83.0,5.9,E,3.2399999999999998
Gran Turismo 6,PS3,Racing,2013,81.0,7.7,E,3.2299999999999995
Halo: The Master Chief Collection,XOne,Shooter,2014,85.0,7.2,M,3.23
Super Mario Maker,WiiU,Platform,2015,88.0,8.7,E,3.21
Mario Party 9,Wii,Misc,2012,73.0,6.8,E,3.1300000000000003
The Legend of Zelda: A Link Between Worlds,3DS,Action,2013,91.0,8.9,E,3.1
Resident Evil 6,PS3,Shooter,2012,74.0,5.4,M,3.0999999999999996
Animal Crossing: Happy Home Designer,3DS,Simulation,2015,66.0,6.9,E,3.05
The Sims 4,PC,Simulation,2014,70.0,3.9,T,3.0500000000000003
Borderlands 2,X360,Shooter,2012,89.0,8.2,M,3.06
Mass Effect 3,X360,Role-Playing,2012,93.0,5.8,M,3.05
FIFA 14,PS4,Sports,2013,87.0,6.3,E,3.01
Far Cry 3,X360,Shooter,2012,91.0,8.6,M,3.0
NBA 2K13,X360,Sports,2012,88.0,7.2,E,3.0
Middle-Earth: Shadow of Mordor,PS4,Action,2014,84.0,8.1,M,2.96
Titanfall,XOne,Shooter,2014,86.0,6.4,M,2.95
Call of Duty: Ghosts,XOne,Shooter,2013,78.0,4.3,M,2.92
FIFA 15,X360,Sports,2014,77.0,4.2,E,2.92
Madden NFL 13,X360,Sports,2012,81.0,5.8,E,2.8499999999999996
Assassin's Creed IV: Black Flag,PS4,Action,2013,83.0,7.8,M,2.86
Need for Speed: Most Wanted,PS3,Racing,2012,75.0,6.3,Unknown,2.81
inFAMOUS: Second Son,PS4,Action,2014,80.0,7.9,T,2.7899999999999996
Mortal Kombat X,PS4,Fighting,2015,83.0,7.7,M,2.78
Minecraft,XOne,Misc,2014,75.0,7.0,Unknown,2.7600000000000002
FIFA 16,PS3,Sports,2015,77.0,3.2,E,2.6999999999999997
Killzone: Shadow Fall,PS4,Shooter,2013,73.0,6.8,M,2.6900000000000004
Yokai Watch 2 Shinuchi,3DS,Role-Playing,2014,74.0,7.5,Unknown,2.68
FIFA 17,XOne,Sports,2016,84.0,5.5,E,2.65
Madden NFL 13,PS3,Sports,2012,83.0,5.5,E,2.56
NBA 2K14,X360,Sports,2013,87.0,4.9,E,2.52
Skylanders Giants,Wii,Action,2012,78.0,7.0,E10+,2.52
Bloodborne,PS4,Action,2015,92.0,8.6,M,2.48
NBA 2K13,PS3,Sports,2012,90.0,8.0,E,2.48
NBA 2K15,PS4,Sports,2014,83.0,7.0,E,2.4499999999999997
Need for Speed (2015),PS4,Racing,2015,75.0,6.3,Unknown,2.42
Call of Duty: Infinite Warfare,XOne,Shooter,2016,78.0,3.1,M,2.4200000000000004
Madden NFL 16,XOne,Sports,2015,84.0,6.1,E,2.42
Tomb Raider (2013),PS3,Action,2013,73.0,7.1,Unknown,2.42
The Legend of Zelda: Majora's Mask 3D,3DS,Action,2015,89.0,9.0,E10+,2.34
NBA 2K16,XOne,Sports,2015,86.0,6.2,E10+,2.34
Guild Wars 2,PC,Action,2012,90.0,7.9,T,2.3000000000000003
Paper Mario: Sticker Star,3DS,Role-Playing,2012,75.0,5.6,E,2.31
Batman: Arkham Origins,PS3,Action,2013,76.0,7.7,T,2.29
Yokai Watch Busters,3DS,Action,2015,73.0,7.1,Unknown,2.29
Far Cry: Primal,PS4,Action,2016,76.0,6.3,M,2.2600000000000002
Battlefield 1,XOne,Shooter,2016,87.0,8.2,M,2.25
God of War: Ascension,PS3,Action,2013,80.0,7.5,M,2.25
New Super Luigi U,WiiU,Platform,2013,77.0,7.9,E,2.2300000000000004
Assassin's Creed IV: Black Flag,XOne,Action,2013,73.0,7.4,M,2.24
Madden NFL 25,X360,Sports,2013,80.0,5.6,E,2.23
Borderlands 2,PS3,Shooter,2012,91.0,8.2,M,2.22
LEGO Marvel Super Heroes,X360,Action,2013,80.0,7.6,E10+,2.22
Tom Clancy's Rainbow Six: Siege,PS4,Shooter,2015,73.0,7.3,M,2.21
Forza Motorsport 5,XOne,Racing,2013,79.0,5.9,E,2.1999999999999997
Madden NFL 15,PS4,Sports,2014,81.0,6.1,E,2.19
FIFA 15,XOne,Sports,2014,82.0,5.4,E,2.18
Tom Clancy's The Division,XOne,Shooter,2016,80.0,6.9,M,2.1700000000000004
Skylanders SWAP Force,Wii,Platform,2013,78.0,6.6,E10+,2.15
Overwatch,PS4,Shooter,2016,90.0,6.1,T,2.14
Hitman: Absolution,PS3,Action,2012,83.0,7.5,M,2.1500000000000004
NBA 2K14,PS3,Sports,2013,84.0,4.9,E,2.11
Battlefield: Hardline,PS4,Shooter,2015,73.0,5.0,M,2.11
Dying Light,PS4,Action,2015,74.0,7.9,M,2.09
Yokai Watch,3DS,Role-Playing,2013,74.0,7.5,Unknown,2.08
Mario & Luigi: Dream Team,3DS,Role-Playing,2013,74.0,7.5,Unknown,2.07
DriveClub,PS4,Racing,2014,71.0,6.1,E,2.07
Madden NFL 15,X360,Sports,2014,77.0,5.5,E,2.0500000000000003
Battlefield 4,XOne,Shooter,2013,81.0,6.6,M,2.02
Fire Emblem: Awakening,3DS,Role-Playing,2012,92.0,9.1,T,2.02
Just Dance 2015,Wii,Misc,2014,75.0,8.4,E10+,2.01
Dragon Age: Inquisition,PS4,Role-Playing,2014,89.0,7.4,M,2.01
Need for Speed Rivals,PS4,Racing,2013,80.0,6.2,E10+,1.98
Minecraft,PSV,Misc,2014,75.0,7.0,Unknown,1.9600000000000002
Forza Horizon,X360,Racing,2012,85.0,8.4,T,1.97
Resident Evil 6,X360,Shooter,2012,67.0,5.0,M,1.9500000000000002
BioShock Infinite,X360,Shooter,2013,93.0,8.5,M,1.94
Destiny: The Taken King,PS4,Shooter,2015,86.0,6.0,T,1.9200000000000002
Destiny,X360,Shooter,2014,76.0,4.7,T,1.92
Mario Party: Island Tour,3DS,Misc,2013,57.0,6.3,E,1.9200000000000002
Diablo III,PS3,Role-Playing,2013,86.0,6.4,M,1.91
LittleBigPlanet 3,PS4,Platform,2014,79.0,7.1,E,1.9100000000000001
Tomb Raider (2013),X360,Action,2013,73.0,7.1,Unknown,1.88
Donkey Kong Country Returns,3DS,Platform,2013,78.0,7.2,Unknown,1.9
Batman: Arkham Origins,X360,Action,2013,74.0,7.5,T,1.88
NBA 2K17,PS4,Sports,2016,88.0,6.7,E,1.8800000000000001
Madden NFL 25,PS3,Sports,2013,76.0,4.1,E,1.87
Just Cause 3,PS4,Action,2015,73.0,6.5,M,1.85
Max Payne 3,PS3,Shooter,2012,87.0,7.8,M,1.84
LEGO Marvel Super Heroes,PS3,Action,2013,82.0,7.9,E10+,1.83
Kirby: Triple Deluxe,3DS,Platform,2014,80.0,8.8,E,1.83
Diablo III,PS4,Role-Playing,2014,74.0,7.5,M,1.83
World of Warcraft: Mists of Pandaria,PC,Role-Playing,2012,82.0,4.8,T,1.82
Mafia III,PS4,Action,2016,68.0,5.1,M,1.81
Forza Motorsport 6,XOne,Racing,2015,87.0,7.9,E,1.7999999999999998
The Evil Within,PS4,Action,2014,75.0,7.3,M,1.7900000000000003
The Legend of Zelda: The Wind Waker,WiiU,Action,2013,73.0,7.1,Unknown,1.8000000000000003
Madden NFL 17,PS4,Sports,2016,82.0,4.9,E,1.74
The Elder Scrolls Online,PS4,Role-Playing,2015,74.0,7.5,Unknown,1.75
Wii Party U,WiiU,Misc,2013,65.0,6.8,E,1.7500000000000002
Kingdom Hearts,PS3,Role-Playing,2013,74.0,7.5,Unknown,1.74
Watch Dogs,PS3,Action,2014,73.0,5.1,M,1.7400000000000002
Kinect Star Wars,X360,Action,2012,55.0,3.5,T,1.7400000000000002
Dragon's Dogma,PS3,Role-Playing,2012,78.0,8.3,M,1.7399999999999998
The Order: 1886,PS4,Shooter,2015,63.0,6.6,M,1.7200000000000002
Knack,PS4,Platform,2013,54.0,6.5,E10+,1.73
Hitman: Absolution,X360,Action,2012,79.0,7.1,M,1.74
The Crew,PS4,Racing,2014,61.0,5.4,T,1.7200000000000002
NBA 2K15,XOne,Sports,2014,82.0,6.3,E,1.73
Dishonored,X360,Action,2012,88.0,7.9,M,1.71
Call of Duty: Black Ops 3,X360,Shooter,2015,76.0,6.7,Unknown,1.7
No Man's Sky,PS4,Action,2016,71.0,4.5,T,1.6900000000000002
BioShock Infinite,PS3,Shooter,2013,94.0,8.5,M,1.6900000000000002
Call of Duty: Black Ops 3,PS3,Shooter,2015,76.0,6.7,Unknown,1.69
 Fire Emblem Fates,3DS,Role-Playing,2015,74.0,7.5,Unknown,1.6700000000000002
StarCraft II: Heart of the Swarm,PC,Strategy,2013,86.0,7.9,T,1.67
Until Dawn,PS4,Adventure,2015,79.0,8.2,M,1.6600000000000001
Saints Row IV,X360,Action,2013,81.0,6.5,M,1.65
LEGO Batman 2: DC Super Heroes,X360,Action,2012,79.0,7.2,E10+,1.66
Dark Souls III,PS4,Role-Playing,2016,89.0,8.8,M,1.6600000000000001
Far Cry 4,XOne,Shooter,2014,82.0,7.5,M,1.6400000000000001
Beyond: Two Souls,PS3,Adventure,2013,70.0,8.1,M,1.6400000000000001
NBA 2K15,X360,Sports,2014,77.0,3.0,E,1.6300000000000001
Max Payne 3,X360,Shooter,2012,86.0,7.8,M,1.62
LEGO Marvel Super Heroes,PS4,Action,2013,83.0,7.7,E10+,1.62
Destiny,PS3,Shooter,2014,76.0,4.5,T,1.6100000000000003
Disney Infinity,Wii,Action,2013,73.0,4.2,E10+,1.6
Kingdom Hearts 3D: Dream Drop Distance,3DS,Action,2012,75.0,8.2,E10+,1.5800000000000003
Mario Party 10,WiiU,Misc,2015,66.0,6.5,E,1.58
Dead Rising 3,XOne,Action,2013,78.0,6.8,M,1.57
Gears of War: Judgment,X360,Shooter,2013,79.0,5.4,M,1.5699999999999998
Watch Dogs,XOne,Action,2014,78.0,5.8,M,1.5700000000000003
FIFA 16,X360,Sports,2015,77.0,2.9,E,1.5699999999999998
Madden NFL 15,XOne,Sports,2014,80.0,6.4,E,1.56
Need for Speed: Most Wanted,X360,Racing,2012,83.0,8.5,T,1.5599999999999998
Wolfenstein: The New Order,PS4,Shooter,2014,79.0,8.1,M,1.54
Ratchet & Clank (2016),PS4,Platform,2016,78.0,7.2,Unknown,1.54
Pro Evolution Soccer 2013,PS3,Sports,2012,82.0,6.7,E,1.54
Dishonored,PS3,Action,2012,89.0,7.9,M,1.53
Call of Duty: Black Ops II,PC,Shooter,2012,74.0,4.2,M,1.52
Donkey Kong Country: Tropical Freeze,WiiU,Platform,2014,83.0,8.9,E,1.5299999999999998
Puzzle & Dragons,3DS,Role-Playing,2013,74.0,7.5,Unknown,1.51
Batman: Arkham Knight,XOne,Action,2015,85.0,6.6,M,1.4900000000000002
Doom (2016),PS4,Shooter,2016,76.0,6.7,Unknown,1.49
LEGO City Undercover,3DS,Platform,2013,78.0,7.2,Unknown,1.4700000000000002
Call of Duty Black Ops: Declassified,PSV,Action,2012,33.0,4.8,M,1.47
Tom Clancy's Ghost Recon: Future Soldier,X360,Shooter,2012,79.0,7.2,M,1.4700000000000002
Dragon Quest VII: Warriors of Eden,3DS,Role-Playing,2013,74.0,7.5,Unknown,1.46
Madden NFL 15,PS3,Sports,2014,77.0,2.7,E,1.4600000000000002
NBA 2K14,PS4,Sports,2013,85.0,6.5,E,1.44
Disney Infinity,X360,Action,2013,74.0,6.5,E10+,1.44
Mass Effect 3,PS3,Role-Playing,2012,93.0,5.5,M,1.42
SimCity (2013),PC,Simulation,2013,64.0,2.2,E10+,1.42
Metal Gear Rising: Revengeance,PS3,Action,2013,80.0,7.9,M,1.42
Medal of Honor: Warfighter,PS3,Action,2012,55.0,6.0,M,1.4200000000000002
Diablo III,X360,Role-Playing,2013,87.0,6.6,M,1.4100000000000001
Tomb Raider (2013),PS4,Action,2014,73.0,7.1,Unknown,1.4000000000000001
Forza Horizon 2,XOne,Racing,2014,86.0,8.2,E10+,1.4000000000000001
Injustice: Gods Among Us,X360,Fighting,2013,81.0,7.9,T,1.3800000000000001
Yoshi's New Island,3DS,Platform,2014,64.0,6.1,E,1.3800000000000001
LEGO Batman 2: DC Super Heroes,Wii,Action,2012,73.0,7.1,E10+,1.3800000000000001
Bravely Default: Flying Fairy,3DS,Role-Playing,2012,74.0,7.5,Unknown,1.3900000000000001
Ryse: Son of Rome,XOne,Action,2013,60.0,6.1,M,1.3900000000000001
Mortal Kombat X,XOne,Fighting,2015,86.0,7.3,M,1.38
Rise of the Tomb Raider,XOne,Adventure,2015,86.0,8.0,M,1.3800000000000001
Titanfall,X360,Shooter,2014,83.0,5.9,M,1.3599999999999999
WWE '13,PS3,Action,2012,76.0,8.1,T,1.3599999999999999
Middle-Earth: Shadow of Mordor,XOne,Action,2014,87.0,8.0,M,1.3599999999999999
Battlefield 4,PC,Shooter,2013,81.0,6.0,M,1.36
Gears of War 4,XOne,Shooter,2016,84.0,6.2,M,1.3399999999999999
Tom Clancy's Rainbow Six: Siege,XOne,Shooter,2015,74.0,6.9,M,1.3399999999999999
NBA 2K15,PS3,Sports,2014,77.0,3.5,E,1.34
Yokai Watch 3,3DS,Action,2016,73.0,7.1,Unknown,1.33
The Elder Scrolls V: Skyrim,PS4,Role-Playing,2016,74.0,7.5,Unknown,1.3199999999999998
Skylanders SWAP Force,X360,Platform,2013,83.0,5.7,E10+,1.3199999999999998
Assassin's Creed III: Liberation,PSV,Action,2012,70.0,7.2,M,1.31
The Witcher 3: Wild Hunt,XOne,Role-Playing,2015,91.0,9.2,M,1.3
Yoshi's Woolly World,WiiU,Platform,2015,78.0,8.5,E,1.3
Skylanders Giants,X360,Action,2012,80.0,6.6,E10+,1.3
Assassin's Creed Syndicate,XOne,Action,2015,78.0,6.1,M,1.2900000000000003
Far Cry 4,PS3,Shooter,2014,76.0,7.3,M,1.29
Dying Light,XOne,Action,2015,74.0,7.8,M,1.29
Fallout 4,PC,Role-Playing,2015,84.0,5.4,M,1.2800000000000002
Assassin's Creed: Rogue,PS3,Action,2014,72.0,7.5,M,1.28
The Elder Scrolls Online,XOne,Role-Playing,2015,77.0,8.4,M,1.2800000000000002
The LEGO Movie Videogame,X360,Action,2014,69.0,7.2,E10+,1.27
Dark Souls II,PS3,Role-Playing,2014,91.0,8.1,T,1.2799999999999998
Kid Icarus: Uprising,3DS,Action,2012,83.0,8.7,E10+,1.26
Pokemon Mystery Dungeon: Gates to Infinity,3DS,Role-Playing,2012,59.0,6.3,E,1.27
Metal Gear Solid V: Ground Zeroes,PS4,Action,2014,75.0,6.2,M,1.2699999999999998
WWE '13,X360,Action,2012,78.0,8.0,T,1.27
Final Fantasy X / X-2 HD Remaster,PS3,Role-Playing,2013,85.0,8.5,T,1.27
Need for Speed Rivals,PS3,Racing,2013,80.0,4.9,E10+,1.26
Saints Row IV,PS3,Action,2013,76.0,6.3,M,1.25
Watch Dogs,X360,Action,2014,73.0,5.0,M,1.25
LittleBigPlanet PS Vita,PSV,Platform,2012,88.0,8.6,E,1.25
Pokemon Super Mystery Dungeon,3DS,Role-Playing,2015,69.0,8.8,E,1.25
FIFA Street,PS3,Sports,2012,76.0,6.4,E,1.24
Madden NFL 17,XOne,Sports,2016,83.0,5.9,E,1.23
Kingdom Hearts II,PS3,Role-Playing,2014,74.0,7.5,Unknown,1.23
LEGO The Lord of the Rings,X360,Action,2012,80.0,8.5,E10+,1.24
Hyrule Warriors,WiiU,Action,2014,76.0,8.3,T,1.23
WWE 2K16,PS4,Sports,2015,73.0,7.4,T,1.21
Battlefield: Hardline,XOne,Shooter,2015,71.0,5.1,M,1.21
Farming Simulator 2015,PC,Simulation,2014,70.0,7.05,Unknown,1.1900000000000002
LEGO Batman 2: DC Super Heroes,PS3,Action,2012,81.0,7.5,E10+,1.19
Captain Toad: Treasure Tracker,WiiU,Puzzle,2014,81.0,8.6,E,1.1900000000000002
Destiny: The Taken King,XOne,Shooter,2015,89.0,5.2,T,1.2000000000000002
Mario & Sonic at the London 2012 Olympic Games,3DS,Sports,2012,77.0,5.7,Unknown,1.1800000000000002
Injustice: Gods Among Us,PS3,Fighting,2013,78.0,7.9,T,1.19
Just Dance 4,X360,Misc,2012,77.0,7.7,E10+,1.1800000000000002
One Piece: Pirate Warriors,PS3,Action,2012,64.0,6.5,T,1.1800000000000002
Resident Evil: Operation Raccoon City,PS3,Action,2012,52.0,4.9,M,1.1800000000000002
Mad Max (2015),PS4,Action,2015,73.0,7.1,Unknown,1.17
Grand Theft Auto V,PC,Action,2015,96.0,7.9,M,1.1700000000000002
FIFA 14,XOne,Sports,2013,88.0,5.8,E,1.1600000000000001
Football Manager 2013,PC,Sports,2012,86.0,6.7,Unknown,1.16
Medal of Honor: Warfighter,X360,Action,2012,53.0,5.4,M,1.1500000000000001
WWE 2K15,PS4,Sports,2014,62.0,5.1,T,1.15
WWE 2K14,PS3,Sports,2013,74.0,7.5,T,1.14
Sunset Overdrive,XOne,Shooter,2014,81.0,7.7,M,1.1300000000000001
Naruto Shippuden: Ultimate Ninja Storm 4,PS4,Fighting,2016,79.0,8.2,T,1.14
Watch Dogs 2,PS4,Action,2016,83.0,7.8,M,1.13
Alien: Isolation,PS4,Shooter,2014,79.0,8.1,M,1.1199999999999999
Fantasy Life,3DS,Role-Playing,2012,73.0,8.6,E10+,1.13
The Legend of Zelda: Tri Force Heroes,3DS,Action,2015,73.0,7.6,E,1.11
Persona 4: Golden,PSV,Role-Playing,2012,93.0,9.2,M,1.1199999999999999
Pikmin 3,WiiU,Strategy,2013,87.0,8.7,E10+,1.12
WWE 2K14,X360,Sports,2013,75.0,7.7,T,1.11
Dragon Ball: XenoVerse,PS4,Fighting,2015,69.0,7.7,T,1.1
LEGO City Undercover,WiiU,Platform,2013,80.0,8.2,E10+,1.1
NCAA Football 14,X360,Sports,2013,77.0,5.8,E,1.09
Project CARS,PS4,Racing,2015,83.0,6.6,E,1.0799999999999998
NCAA Football 13,X360,Action,2012,76.0,5.5,E,1.09
Final Fantasy XIV: A Realm Reborn,PS3,Role-Playing,2013,74.0,7.5,Unknown,1.08
Forza Horizon 3,XOne,Racing,2016,91.0,7.4,E,1.08
Disney Infinity 2.0: Marvel Super Heroes,X360,Action,2014,73.0,7.1,Unknown,1.08
Plants vs. Zombies: Garden Warfare,X360,Shooter,2014,69.0,7.3,E10+,1.07
Lightning Returns: Final Fantasy XIII,PS3,Role-Playing,2013,66.0,5.9,T,1.07
Overwatch,XOne,Shooter,2016,91.0,5.6,T,1.06
Skylanders Giants,PS3,Action,2012,77.0,6.3,E10+,1.05
LEGO Marvel Super Heroes,XOne,Action,2013,73.0,6.8,E10+,1.05
LEGO The Lord of the Rings,PS3,Action,2012,82.0,8.3,E10+,1.05
EA Sports UFC,PS4,Sports,2014,70.0,6.1,T,1.05
Sleeping Dogs,PS3,Action,2012,83.0,7.7,M,1.04
F1 2012,PS3,Racing,2012,81.0,7.5,E,1.03
UFC Undisputed 3,PS3,Action,2012,86.0,7.4,T,1.0300000000000002
The Legend of Zelda: Twilight Princess HD,WiiU,Action,2016,86.0,8.4,T,1.03
NBA 2K17,XOne,Sports,2016,90.0,6.2,E,1.03
Skylanders SWAP Force,PS3,Platform,2013,83.0,5.3,E10+,1.02
Pokemon Conquest,DS,Role-Playing,2012,80.0,8.2,E,1.02
Need for Speed: Most Wanted,PSV,Racing,2012,75.0,6.3,Unknown,1.01
Assassin's Creed: Rogue,X360,Action,2014,72.0,7.3,M,1.01
Rayman Legends,PS4,Platform,2014,90.0,8.5,E10+,1.02
ZombiU,WiiU,Action,2012,77.0,7.7,M,1.01
Pokken Tournament,WiiU,Fighting,2016,76.0,8.0,E10+,1.01
Just Dance 2014,X360,Misc,2013,79.0,7.8,E10+,0.99
UFC Undisputed 3,X360,Action,2012,85.0,7.6,T,0.9999999999999999
Final Fantasy Type-0,PS4,Role-Playing,2015,74.0,7.5,Unknown,0.98
Dead Space 3,X360,Action,2013,78.0,6.4,M,0.98
Rocksmith 2014,PS3,Misc,2013,75.0,7.0,Unknown,0.9800000000000001
Tom Clancy's Splinter Cell: Blacklist,X360,Action,2013,82.0,7.5,M,0.9799999999999999
Madden NFL 16,X360,Sports,2015,77.0,5.1,E,0.97
Disney Infinity,PS3,Action,2013,75.0,5.9,E10+,0.9700000000000001
Mass Effect 3,PC,Role-Playing,2012,89.0,5.5,M,0.9600000000000001
Far Cry 3,PC,Shooter,2012,88.0,8.2,M,0.96
Evolve,PS4,Shooter,2015,76.0,4.3,M,0.9700000000000001
Dead Space 3,PS3,Action,2013,76.0,6.4,M,0.9600000000000001
Dragon Quest X,Wii,Role-Playing,2012,74.0,7.5,Unknown,0.96
Farming Simulator 2013,PC,Simulation,2012,65.0,7.5,E,0.9600000000000001
Dragon Quest Monsters: Terry's Wonderland 3D,3DS,Role-Playing,2012,74.0,7.5,Unknown,0.96
Sniper Elite V2,PS3,Shooter,2012,70.0,6.9,M,0.9600000000000001
Mario Tennis Open,3DS,Sports,2012,69.0,6.9,E,0.9400000000000002
Disney Infinity 2.0: Marvel Super Heroes,PS3,Action,2014,73.0,7.1,Unknown,0.9500000000000001
PlayStation All-Stars Battle Royale,PS3,Action,2012,74.0,7.3,T,0.9600000000000001
Epic Mickey 2: The Power of Two,Wii,Action,2012,73.0,7.1,Unknown,0.95
